Ticker	Nom	Secteur	Lieu	Bourse de valeurs	Devise de marché
EIX	EDISON INTERNATIONAL	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
AEE	AMEREN CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
EXPE	EXPEDIA GROUP INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
AMRZ	AMRIZE AG	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
BE	BLOOM ENERGY CLASS A CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
DOW	DOW INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
NRG	NRG ENERGY INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
IRM	IRON MOUNTAIN INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
AWK	AMERICAN WATER WORKS INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
PPL	PPL CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
TPR	TAPESTRY INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
IBKR	INTERACTIVE BROKERS GROUP INC CLAS	Finance	Etats-Unis	NASDAQ	USD
HSY	HERSHEY FOODS	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
HPE	HEWLETT PACKARD ENTERPRISE	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
DVN	DEVON ENERGY CORP	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
CCL	CARNIVAL CORP	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
WAT	WATERS CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
VICI	VICI PPTYS INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
EXE	EXPAND ENERGY CORP	Energie	Etats-Unis	NASDAQ	USD
DTE	DTE ENERGY	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
VRSK	VERISK ANALYTICS INC	Industries	Etats-Unis	NASDAQ	USD
RKLB	ROCKET LAB CORP	Industries	Etats-Unis	NASDAQ	USD
NTRS	NORTHERN TRUST CORP	Finance	Etats-Unis	NASDAQ	USD
XYL	XYLEM INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
TPL	TEXAS PACIFIC LAND CORP	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
ATO	ATMOS ENERGY CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
IQV	IQVIA HOLDINGS INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
CNP	CENTERPOINT ENERGY INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
CASY	CASEYS GENERAL STORES INC	Biens de consommation de base	Etats-Unis	NASDAQ	USD
CFG	CITIZENS FINANCIAL GROUP INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ON	ON SEMICONDUCTOR CORP	Technologie de l'information	Etats-Unis	NASDAQ	USD
WTW	WILLIS TOWERS WATSON PLC	Finance	Etats-Unis	NASDAQ	USD
FE	FIRSTENERGY CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
EXR	EXTRA SPACE STORAGE REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
CTRA	COTERRA ENERGY INC	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
TDY	TELEDYNE TECHNOLOGIES INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
LYV	LIVE NATION ENTERTAINMENT INC	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
FICO	FAIR ISAAC CORP	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
WDAY	WORKDAY INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
DG	DOLLAR GENERAL CORP	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
UTHR	UNITED THERAPEUTICS CORP	Santé	Etats-Unis	NASDAQ	USD
AVB	AVALONBAY COMMUNITIES REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
MTD	METTLER TOLEDO INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
SYF	SYNCHRONY FINANCIAL	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
VEEV	VEEVA SYSTEMS INC CLASS A	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
LH	LABCORP HOLDINGS INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
CW	CURTISS WRIGHT CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
FTAI	FTAI AVIATION LTD	Industries	Etats-Unis	NASDAQ	USD
ULTA	ULTA BEAUTY INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
BIIB	BIOGEN INC	Santé	Etats-Unis	NASDAQ	USD
NTRA	NATERA INC	Santé	Etats-Unis	NASDAQ	USD
STZ	CONSTELLATION BRANDS INC CLASS A	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
Q	QNITY ELECTRONICS INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
JBL	JABIL INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
FIS	FIDELITY NATIONAL INFORMATION SERV	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
FLEX	FLEX LTD	Technologie de l'information	Etats-Unis	NASDAQ	USD
ARES	ARES MANAGEMENT CORP CLASS A	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
DGX	QUEST DIAGNOSTICS INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
MKL	MARKEL GROUP INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
STLD	STEEL DYNAMICS INC	Matériaux	Etats-Unis	NASDAQ	USD
OMC	OMNICOM GROUP INC	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
PHM	PULTEGROUP INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
LPLA	LPL FINANCIAL HOLDINGS INC	Finance	Etats-Unis	NASDAQ	USD
ES	EVERSOURCE ENERGY	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
PPG	PPG INDUSTRIES INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
HUBB	HUBBELL INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
DXCM	DEXCOM INC	Santé	Etats-Unis	NASDAQ	USD
DRI	DARDEN RESTAURANTS INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
NTAP	NETAPP INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
EFX	EQUIFAX INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
PFG	PRINCIPAL FINANCIAL GROUP INC	Finance	Etats-Unis	NASDAQ	USD
GIS	GENERAL MILLS INC	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
ZM	ZOOM COMMUNICATIONS INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
TSCO	TRACTOR SUPPLY	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
CINF	CINCINNATI FINANCIAL CORP	Finance	Etats-Unis	NASDAQ	USD
CHD	CHURCH AND DWIGHT INC	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
WSM	WILLIAMS SONOMA INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
HUM	HUMANA INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
STE	STERIS	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
EQR	EQUITY RESIDENTIAL REIT	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
RF	REGIONS FINANCIAL CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
KHC	KRAFT HEINZ	Biens de consommation de base	Etats-Unis	NASDAQ	USD
CHRW	CH ROBINSON WORLDWIDE INC	Industries	Etats-Unis	NASDAQ	USD
FWONK	LIBERTY MEDIA FORMULA ONE SERIES C	La communication	Etats-Unis	NASDAQ	USD
TROW	T ROWE PRICE GROUP INC	Finance	Etats-Unis	NASDAQ	USD
VRSN	VERISIGN INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
DLTR	DOLLAR TREE INC	Biens de consommation de base	Etats-Unis	NASDAQ	USD
LDOS	LEIDOS HOLDINGS INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CMS	CMS ENERGY CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
CHTR	CHARTER COMMUNICATIONS INC CLASS A	La communication	Etats-Unis	NASDAQ	USD
LNT	ALLIANT ENERGY CORP	Services publics	Etats-Unis	NASDAQ	USD
NI	NISOURCE INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
EVRG	EVERGY INC	Services publics	Etats-Unis	NASDAQ	USD
LYB	LYONDELLBASELL INDUSTRIES NV CLASS	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
SW	SMURFIT WESTROCK PLC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
FSLR	FIRST SOLAR INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
VLTO	VERALTO CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
TWLO	TWILIO INC CLASS A	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
FFIV	F5 INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
LEN	LENNAR A CORP CLASS A	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
FTV	FORTIVE CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
RPRX	ROYALTY PHARMA PLC CLASS A	Santé	Etats-Unis	NASDAQ	USD
DD	DUPONT DE NEMOURS INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
KEY	KEYCORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
BG	BUNGE GLOBAL SA	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
HPQ	HP INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
CDE	COEUR MINING INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
BRO	BROWN & BROWN INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
SBAC	SBA COMMUNICATIONS REIT CORP CLASS	Immobilier	Etats-Unis	NASDAQ	USD
HOLX	HOLOGIC INC	Santé	Etats-Unis	NASDAQ	USD
CRWV	COREWEAVE INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
CF	CF INDUSTRIES HOLDINGS INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
BURL	BURLINGTON STORES INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
TSN	TYSON FOODS INC CLASS A	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
SNA	SNAP ON INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
L	LOEWS CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
PKG	PACKAGING CORP OF AMERICA	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
WST	WEST PHARMACEUTICAL SERVICES INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
ASTS	AST SPACEMOBILE INC CLASS A	La communication	Etats-Unis	NASDAQ	USD
CPAY	CORPAY INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
IFF	INTERNATIONAL FLAVORS & FRAGRANCES	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
NVR	NVR INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
AMCR	AMCOR PLC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
LULU	LULULEMON ATHLETICA INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
PSTG	EVERPURE INC CLASS A	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
GPN	GLOBAL PAYMENTS INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
MDB	MONGODB INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
BR	BROADRIDGE FINANCIAL SOLUTIONS INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
IP	INTERNATIONAL PAPER	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
FLUT	FLUTTER ENTERTAINMENT PLC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
SOFI	SOFI TECHNOLOGIES INC	Finance	Etats-Unis	NASDAQ	USD
CNC	CENTENE CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
ILMN	ILLUMINA INC	Santé	Etats-Unis	NASDAQ	USD
PTC	PTC INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
EXPD	EXPEDITORS INTERNATIONAL OF WASHIN	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
RS	RELIANCE STEEL & ALUMINUM	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
ZBH	ZIMMER BIOMET HOLDINGS INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
EL	ESTEE LAUDER INC CLASS A	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
CSGP	COSTAR GROUP INC	Immobilier	Etats-Unis	NASDAQ	USD
APTV	APTIV PLC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
JBHT	JB HUNT TRANSPORT SERVICES INC	Industries	Etats-Unis	NASDAQ	USD
LII	LENNOX INTERNATIONAL INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
ROL	ROLLINS INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
PODD	INSULET CORP	Santé	Etats-Unis	NASDAQ	USD
LVS	LAS VEGAS SANDS CORP	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
WY	WEYERHAEUSER REIT	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
SATS	ECHOSTAR CORP CLASS A	La communication	Etats-Unis	NASDAQ	USD
INVH	INVITATION HOMES INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
BALL	BALL CORP	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
ESS	ESSEX PROPERTY TRUST REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
REG	REGENCY CENTERS REIT CORP	Immobilier	Etats-Unis	NASDAQ	USD
MAA	MID AMERICA APARTMENT COMMUNITIES	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
TRMB	TRIMBLE INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
NDSN	NORDSON CORP	Industries	Etats-Unis	NASDAQ	USD
TXT	TEXTRON INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
WPC	W. P. CAREY REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
DECK	DECKERS OUTDOOR CORP	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
HEIA	HEICO CORP CLASS A	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
ENTG	ENTEGRIS INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
CDW	CDW CORP	Technologie de l'information	Etats-Unis	NASDAQ	USD
J	JACOBS SOLUTIONS INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
ALAB	ASTERA LABS INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
FCNCA	FIRST CITIZENS BANCSHARES INC CLAS	Finance	Etats-Unis	NASDAQ	USD
CRDO	CREDO TECHNOLOGY GROUP HOLDING LTD	Technologie de l'information	Etats-Unis	NASDAQ	USD
TYL	TYLER TECHNOLOGIES INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
TRU	TRANSUNION	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
SSNC	SS AND C TECHNOLOGIES HOLDINGS INC	Industries	Etats-Unis	NASDAQ	USD
GPC	GENUINE PARTS	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
WRB	WR BERKLEY CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
BBY	BEST BUY INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
NBIX	NEUROCRINE BIOSCIENCES INC	Santé	Etats-Unis	NASDAQ	USD
RVMD	REVOLUTION MEDICINES INC	Santé	Etats-Unis	NASDAQ	USD
RDDT	REDDIT INC CLASS A	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
AVY	AVERY DENNISON CORP	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
TW	TRADEWEB MARKETS INC CLASS A	Finance	Etats-Unis	NASDAQ	USD
SUI	SUN COMMUNITIES REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
DPZ	DOMINOS PIZZA INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
GGG	GRACO INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
IEX	IDEX CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CSL	CARLISLE COMPANIES INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
PNR	PENTAIR	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
PNFP	PINNACLE FINANCIAL PARTNERS INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
COO	COOPER INC	Santé	Etats-Unis	NASDAQ	USD
ZS	ZSCALER INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
RKT	ROCKET COMPANIES INC CLASS A	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
IT	GARTNER INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
ALLE	ALLEGION PLC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
MAS	MASCO CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
KIM	KIMCO REALTY REIT CORP	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
MKC	MCCORMICK & CO NON-VOTING INC	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
DOC	HEALTHPEAK PROPERTIES INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
FOXA	FOX CORP CLASS A	La communication	Etats-Unis	NASDAQ	USD
INCY	INCYTE CORP	Santé	Etats-Unis	NASDAQ	USD
EG	EVEREST GROUP LTD	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
RPM	RPM INTERNATIONAL INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
AFRM	AFFIRM HOLDINGS INC CLASS A	Finance	Etats-Unis	NASDAQ	USD
CLX	CLOROX	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
HUBS	HUBSPOT INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
OKTA	OKTA INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
DKS	DICKS SPORTING INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
TOST	TOAST INC CLASS A	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
NLY	ANNALY CAPITAL MANAGEMENT REIT INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
WSO	WATSCO INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
SMCI	SUPER MICRO COMPUTER INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
GLPI	GAMING AND LEISURE PROPERTIES REIT	Immobilier	Etats-Unis	NASDAQ	USD
TEAM	ATLASSIAN CORP CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
JKHY	JACK HENRY AND ASSOCIATES INC	Finance	Etats-Unis	NASDAQ	USD
GEN	GEN DIGITAL INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
PINS	PINTEREST INC CLASS A	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
IREN	IREN LTD	Technologie de l'information	Etats-Unis	NASDAQ	USD
HEI	HEICO CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
EQH	EQUITABLE HOLDINGS INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
CNH	CNH INDUSTRIAL N.V. NV	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
ACM	AECOM	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CG	CARLYLE GROUP INC	Finance	Etats-Unis	NASDAQ	USD
GDDY	GODADDY INC CLASS A	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
TTD	TRADE DESK INC CLASS A	La communication	Etats-Unis	NASDAQ	USD
FNF	FIDELITY NATIONAL FINANCIAL INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ZBRA	ZEBRA TECHNOLOGIES CORP CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
RIVN	RIVIAN AUTOMOTIVE INC CLASS A	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
SOLV	SOLVENTUM CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
NWSA	NEWS CORP CLASS A	La communication	Etats-Unis	NASDAQ	USD
IOT	SAMSARA INC CLASS A	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
UDR	UDR REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
DKNG	DRAFTKINGS INC CLASS A	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
UHS	UNIVERSAL HEALTH SERVICES INC CLAS	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
IONQ	IONQ INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
DAL	DELTA AIR LINES INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
BLDR	BUILDERS FIRSTSOURCE INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
Z	ZILLOW GROUP INC CLASS C	Immobilier	Etats-Unis	NASDAQ	USD
UAL	UNITED AIRLINES HOLDINGS INC	Industries	Etats-Unis	NASDAQ	USD
ERIE	ERIE INDEMNITY CLASS A	Finance	Etats-Unis	NASDAQ	USD
FOX	FOX CORP CLASS B	La communication	Etats-Unis	NASDAQ	USD
H	HYATT HOTELS CORP CLASS A	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
HRL	HORMEL FOODS CORP	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
OKLO	OKLO INC CLASS A	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD


