Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché
005490,POSCO,Matériaux,Corée,Korea Exchange (Stock Market),KRW
LT,LARSEN AND TOUBRO LTD,Industries,Inde,National Stock Exchange Of India,INR
009150,SAMSUNG ELECTRO MECHANICS LTD,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
1024,KUAISHOU TECHNOLOGY,La communication,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
TITAN,TITAN COMPANY LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
012330,HYUNDAI MOBIS LTD,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
028260,SAMSUNG C&T CORP,Industries,Corée,Korea Exchange (Stock Market),KRW
RIGD,RELIANCE INDUSTRIES GDR REPRESENTI 144A,Energie,Inde,London Stock Exchange,USD
SBID,STATE BANK OF INDIA REG S INDIA GD,Finance,Inde,London Stock Exchange,USD
316140,WOORI FINANCIAL GROUP INC,Finance,Corée,Korea Exchange (Stock Market),KRW
HCLTECH,HCL TECHNOLOGIES LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
ULTRACEMCO,ULTRATECH CEMENT LTD,Matériaux,Inde,National Stock Exchange Of India,INR
SHFL,SHRIRAM FINANCE LTD,Finance,Inde,National Stock Exchange Of India,INR
267260,HD HYUNDAI ELECTRIC LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
HINDALCO,HINDALCO INDUSTRIES LTD,Matériaux,Inde,National Stock Exchange Of India,INR
2020,ANTA SPORTS PRODUCTS LTD,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
2357,ASUSTEK COMPUTER INC,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
2327,YAGEO CORP,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
373220,LG ENERGY SOLUTION LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
9633,NONGFU SPRING LTD H,Biens de consommation de base,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
0ICT,INTERNATIONAL CONTAINER TERMINAL S,Industries,Philippines,Philippine Stock Exchange Inc.,PHP
ADVANC.R,ADVANCED INFO SERVICE NON-VOTING D,La communication,Thaïlande,Stock Exchange Of Thailand,THB
010140,SAMSUNG HEAVY INDUSTRIES LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
329180,HD HYUNDAI HEAVY INDUSTRIES LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
207940,SAMSUNG BIOLOGICS LTD,Santé,Corée,Korea Exchange (Stock Market),KRW
032830,SAMSUNG LIFE LTD,Finance,Corée,Korea Exchange (Stock Market),KRW
6669,WIWYNN CORPORATION CORP,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
2015,LI AUTO CLASS A INC,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
042660,HANWHA OCEAN LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
9866,NIO CLASS A INC,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
9868,XPENG CLASS A INC,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
HTHT,H WORLD GROUP ADR LTD,Biens de consommation cycliques,Chine,NASDAQ,USD
5274,ASPEED TECHNOLOGY INC,Technologie de l'information,Taïwan,Gretai Securities Market,TWD
9992,POP MART INTERNATIONAL GROUP LTD,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
2057,ZTO EXPRESS (CAYMAN) INC,Industries,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
9926,AKESO INC,Santé,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
033780,KT&G CORP,Biens de consommation de base,Corée,Korea Exchange (Stock Market),KRW
009540,HD KOREA SHIPBUILDING & OFFSHORE E,Industries,Corée,Korea Exchange (Stock Market),KRW
VEDL,VEDANTA LTD,Matériaux,Inde,National Stock Exchange Of India,INR
3653,JENTECH PRECISION INDUSTRIAL LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
EICHERMOT,EICHER MOTORS LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
6869,YANGTZE OPTICAL FIBRE AND CABLE JO,Technologie de l'information,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
051910,LG CHEM LTD,Matériaux,Corée,Korea Exchange (Stock Market),KRW
3665,BIZLINK HOLDING INC,Industries,Taïwan,Taiwan Stock Exchange,TWD
086520,ECOPRO LTD,Industries,Corée,Korea Exchange (Kosdaq),KRW
2449,KING YUAN ELECTRONICS LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
LTOD,LARSEN AND TOUBRO SPONSORED GDR RE,Industries,Inde,London Stock Exchange,USD
035720,KAKAO CORP,La communication,Corée,Korea Exchange (Stock Market),KRW
298040,HYOSUNG HEAVY INDUSTRIES CORP,Industries,Corée,Korea Exchange (Stock Market),KRW
ASIANPAINT,ASIAN PAINTS LTD,Matériaux,Inde,National Stock Exchange Of India,INR
196170,ALTEOGEN INC,Santé,Corée,Korea Exchange (Kosdaq),KRW
000810,SAMSUNG FIRE & MARINE INSURANCE LT,Finance,Corée,Korea Exchange (Stock Market),KRW
7769,HONPRECISION INC,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
SBILIFE,SBI LIFE INSURANCE COMPANY LTD,Finance,Inde,National Stock Exchange Of India,INR
NESTLEIND,NESTLE INDIA LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
2368,GOLD CIRCUIT ELECTRONICS LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
064350,HYUNDAI-ROTEM,Industries,Corée,Korea Exchange (Stock Market),KRW
TVSMOTOR,TVS MOTOR COMPANY LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
006800,MIRAE ASSET SECURITIES CO LTD,Finance,Corée,Korea Exchange (Stock Market),KRW
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD,Santé,Inde,National Stock Exchange Of India,INR
INDIGO,INTERGLOBE AVIATION LTD,Industries,Inde,National Stock Exchange Of India,INR
3750,CONTEMPORARY AMPEREX TECHNOLOGY LT,Industries,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
047810,KOREA AEROSPACE INDUSTRIES LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
1347,HUA HONG SEMICONDUCTOR LTD,Technologie de l'information,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
MAXHEALTH,MAX HEALTHCARE INSTITUTE LTD,Santé,Inde,National Stock Exchange Of India,INR
TECHM,TECH MAHINDRA LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
0HAL,HINDUSTAN AERONAUTICS LTD,Industries,Inde,National Stock Exchange Of India,INR
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC Z,Industries,Inde,National Stock Exchange Of India,INR
CIPLA,CIPLA LTD,Santé,Inde,National Stock Exchange Of India,INR
2603,EVERGREEN MARINE CORP (TAIWAN) LTD,Industries,Taïwan,Taiwan Stock Exchange,TWD
GRASIM,GRASIM INDUSTRIES LTD,Matériaux,Inde,National Stock Exchange Of India,INR
010120,LS ELECTRIC LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
DRREDDY,DR REDDYS LABORATORIES LTD,Santé,Inde,National Stock Exchange Of India,INR
JSWSTEEL,JSW STEEL LTD,Matériaux,Inde,National Stock Exchange Of India,INR
DIVISLAB,DIVIS LABORATORIES LTD,Santé,Inde,National Stock Exchange Of India,INR
000720,HYUNDAI ENGINEERING & CONSTRUCTION,Industries,Corée,Korea Exchange (Stock Market),KRW
066570,LG ELECTRONICS INC,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
034730,SK INC,Industries,Corée,Korea Exchange (Stock Market),KRW
DMART,AVENUE SUPERMARTS LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
9901,NEW ORIENTAL EDUCATION & TECHNOLOG,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
2379,REALTEK SEMICONDUCTOR CORP,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
6618,JD HEALTH INTERNATIONAL INC,Biens de consommation de base,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
042700,HANMI SEMICONDUCTOR LTD,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
BAJAJFINSV,BAJAJ FINSERV LTD,Finance,Inde,National Stock Exchange Of India,INR
TATACONSUM,TATA CONSUMER PRODUCTS LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
CUMMINSIND,CUMMINS INDIA LTD,Industries,Inde,National Stock Exchange Of India,INR
267250,HD HYUNDAI LTD,Energie,Corée,Korea Exchange (Stock Market),KRW
2688,ENN ENERGY HOLDINGS LTD,Services publics,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
015760,KOREA ELECTRIC POWER CORP,Services publics,Corée,Korea Exchange (Stock Market),KRW
HEROMOTOCO,HERO MOTOCORP LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
3034,NOVATEK MICROELECTRONICS CORP,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
BAJAJ.AUTO,BAJAJ AUTO LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
TRENT,TRENT LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
3008,LARGAN PRECISION LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINAN,Finance,Inde,National Stock Exchange Of India,INR
LUPIN,LUPIN LTD,Santé,Inde,National Stock Exchange Of India,INR
BRITANNIA,BRITANNIA INDUSTRIES LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
247540,ECOPRO BM LTD,Industries,Corée,Korea Exchange (Kosdaq),KRW
3443,GLOBAL UNICHIP CORP,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
272210,HANWHA SYSTEMS LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
PERSISTENT,PERSISTENT SYSTEMS LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LTD,Finance,Inde,National Stock Exchange Of India,INR
2359,WUXI APPTEC LTD H,Santé,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
3661,ALCHIP TECHNOLOGIES LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
138040,MERITZ FINANCIAL GROUP INC,Finance,Corée,Korea Exchange (Stock Market),KRW
071050,KOREA INVESTMENT HOLDINGS LTD,Finance,Corée,Korea Exchange (Stock Market),KRW
1336,NEW CHINA LIFE INSURANCE COMPANY L,Finance,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
0TME,TENCENT MUSIC ENTERTAINMENT GROUP,La communication,Chine,New York Stock Exchange Inc.,USD
079550,LIG NEX1 LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
9626,BILIBILI INC,La communication,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
6446,PHARMAESSENTIA CORP,Santé,Taïwan,Taiwan Stock Exchange,TWD
TORNTPHARM,TORRENT PHARMACEUTICALS LTD,Santé,Inde,National Stock Exchange Of India,INR
3533,LOTES LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
017670,SK TELECOM LTD,La communication,Corée,Korea Exchange (Stock Market),KRW
SBIN,STATE BANK OF INDIA,Finance,Inde,National Stock Exchange Of India,INR
278470,APR LTD,Biens de consommation de base,Corée,Korea Exchange (Stock Market),KRW
POLICYBZR,PB FINTECH LTD,Finance,Inde,National Stock Exchange Of India,INR
005387,HYUNDAI MOTOR S2 PREF,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
VIPS,VIPSHOP HOLDINGS SPONSORED ADS REP,Biens de consommation cycliques,Chine,New York Stock Exchange Inc.,USD
2059,KING SLIDE WORKS LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
INDHOTEL,INDIAN HOTELS LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
BZ,KANZHUN AMERICAN DEPOSITORY SHARES,Industries,Chine,NASDAQ,USD
4958,ZHEN DING TECHNOLOGY HOLDING LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
3529,EMEMORY TECHNOLOGY INC,Technologie de l'information,Taïwan,Gretai Securities Market,TWD
2259,ZIJIN GOLD INTERNATIONAL LTD,Matériaux,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
0TAL,TAL EDUCATION GROUP ADR REPTG,Biens de consommation cycliques,Chine,New York Stock Exchange Inc.,USD
GVT&D,GE VERNOVA T&D INDIA LTD,Industries,Inde,National Stock Exchange Of India,INR
096770,SK INNOVATION LTD,Energie,Corée,Korea Exchange (Stock Market),KRW
086280,HYUNDAI GLOVIS LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
005830,DB INSURANCE LTD,Finance,Corée,Korea Exchange (Stock Market),KRW
2313,SHENZHOU INTERNATIONAL GROUP LTD,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
2382,SUNNY OPTICAL TECHNOLOGY LTD,Technologie de l'information,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
000150,DOOSAN CORP,Industries,Corée,Korea Exchange (Stock Market),KRW
AUBANK,AU SMALL FINANCE BANK LTD,Finance,Inde,National Stock Exchange Of India,INR
3293,INTERNATIONAL GAMES SYSTEM LTD,La communication,Taïwan,Gretai Securities Market,TWD
INDUSINDBK,INDUSIND BANK LTD,Finance,Inde,National Stock Exchange Of India,INR
003550,LG CORP,Industries,Corée,Korea Exchange (Stock Market),KRW
259960,KRAFTON INC,La communication,Corée,Korea Exchange (Stock Market),KRW
2099,CHINA GOLD INTERNATIONAL RESOURCES,Matériaux,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
003670,POSCO FUTURE M LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
SCC.R,SIAM CEMENT NON-VOTING DR PCL,Matériaux,Thaïlande,Stock Exchange Of Thailand,THB
352820,HYBE LTD,La communication,Corée,Korea Exchange (Stock Market),KRW
GODREJCP,GODREJ CONSUMER PRODUCTS LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
2207,HOTAI MOTOR LTD,Biens de consommation cycliques,Taïwan,Taiwan Stock Exchange,TWD
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LTD,Finance,Inde,National Stock Exchange Of India,INR
3606,FUYAO GLASS INDUSTRY GROUP LTD H,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS,Industries,Inde,National Stock Exchange Of India,INR
JINDALSTEL,JINDAL STEEL LTD,Matériaux,Inde,National Stock Exchange Of India,INR
PIDILITIND,PIDILITE INDUSTRIES LTD,Matériaux,Inde,National Stock Exchange Of India,INR
1772,GANFENG LITHIUM LTD H,Matériaux,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
MUTHOOTFIN,MUTHOOT FINANCE LTD,Finance,Inde,National Stock Exchange Of India,INR
2395,ADVANTECH LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
018260,SAMSUNG SDS LTD,Technologie de l'information,Corée,Korea Exchange (Stock Market),KRW
028300,HLB INC,Santé,Corée,Korea Exchange (Kosdaq),KRW
1590,AIRTAC INTERNATIONAL GROUP,Industries,Taïwan,Taiwan Stock Exchange,TWD
0300,MIDEA GROUP LTD CLASS H,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
FORTIS,FORTIS HEALTHCARE LTD,Santé,Inde,National Stock Exchange Of India,INR
0DLF,DLF LTD,Immobilier,Inde,National Stock Exchange Of India,INR
POLYCAB,POLYCAB INDIA LTD,Industries,Inde,National Stock Exchange Of India,INR
DIXON,DIXON TECHNOLOGIES (INDIA) LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
BHARATFORG,BHARAT FORGE LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
PAYTM,ONE COMMUNICATIONS LTD,Finance,Inde,National Stock Exchange Of India,INR
UNITDSPR,UNITED SPIRITS LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
MARICO,MARICO LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
NAUKRI,INFO EDGE INDIA LTD,La communication,Inde,National Stock Exchange Of India,INR
KBANK.R,KASIKORNBANK PUBLIC NON-VOTING DR,Finance,Thaïlande,Stock Exchange Of Thailand,THB
AUROPHARMA,AUROBINDO PHARMA LTD,Santé,Inde,National Stock Exchange Of India,INR
1519,FORTUNE ELECTRIC LTD,Industries,Taïwan,Taiwan Stock Exchange,TWD
1209,CHINA RESOURCES MIXC LIFESTYLE SER,Immobilier,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
HLBANK,HONG LEONG BANK,Finance,Malaisie,Bursa Malaysia,MYR
000100,YUHAN CORP,Santé,Corée,Korea Exchange (Stock Market),KRW
0168,TSINGTAO BREWERY LTD H,Biens de consommation de base,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
SOLARINDS,SOLAR INDUSTRIES INDIA LTD,Matériaux,Inde,National Stock Exchange Of India,INR
024110,INDUSTRIAL BANK OF KOREA,Finance,Corée,Korea Exchange (Stock Market),KRW
ICICIGI,ICICI LOMBARD GENERAL INSURANCE CO,Finance,Inde,National Stock Exchange Of India,INR
2912,PRESIDENT CHAIN STORE CORP,Biens de consommation de base,Taïwan,Taiwan Stock Exchange,TWD
0SRF,SRF LTD,Matériaux,Inde,National Stock Exchange Of India,INR
POWERINDIA,HITACHI ENERGY INDIA LTD,Industries,Inde,National Stock Exchange Of India,INR
APLAPOLLO,APL APOLLO TUBES LTD,Matériaux,Inde,National Stock Exchange Of India,INR
0ABB,ABB INDIA LTD,Industries,Inde,National Stock Exchange Of India,INR
0LTM,LTIMINDTREE LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
6488,GLOBALWAFERS LTD,Technologie de l'information,Taïwan,Gretai Securities Market,TWD
SUNDARMFIN,SUNDARAM FINANCE LTD,Finance,Inde,National Stock Exchange Of India,INR
010950,S-OIL CORP,Energie,Corée,Korea Exchange (Stock Market),KRW
005385,HYUNDAI MOTOR S1 PREF,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
003230,SAM YANG FOODS INC,Biens de consommation de base,Corée,Korea Exchange (Stock Market),KRW
HYUNDAI,HYUNDAI MOTOR INDIA LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
PHOENIXLTD,PHOENIX MILLS LTD,Immobilier,Inde,National Stock Exchange Of India,INR
9863,ZHEJIANG LEAPMOTOR TECHNOLOGY LTD,Biens de consommation cycliques,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
2376,GIGABYTE TECHNOLOGY LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
011200,HMM LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
0MRF,MRF LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
TIINDIA,TUBE INVESTMENTS OF INDIA LTD,Biens de consommation cycliques,Inde,National Stock Exchange Of India,INR
VOLTAS,VOLTAS LTD,Industries,Inde,National Stock Exchange Of India,INR
ADANIENT,ADANI ENTERPRISES LTD,Industries,Inde,National Stock Exchange Of India,INR
WAAREEENER,WAAREE ENERGIES LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
0UPL,UPL LTD,Matériaux,Inde,National Stock Exchange Of India,INR
2268,WUXI XDC CAYMAN INC,Santé,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
HAVELLS,HAVELLS INDIA LTD,Industries,Inde,National Stock Exchange Of India,INR
003490,KOREAN AIR LINES LTD,Industries,Corée,Korea Exchange (Stock Market),KRW
SIEMENS,SIEMENS LTD,Industries,Inde,National Stock Exchange Of India,INR
0KLK,KUALA LUMPUR KEPONG,Biens de consommation de base,Malaisie,Bursa Malaysia,MYR
6990,SICHUAN KELUN-BIOTECH BIOPHARMACEU,Santé,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
005940,NH INVESTMENT & SECURITIES LTD,Finance,Corée,Korea Exchange (Stock Market),KRW
MANKIND,MANKIND PHARMA LTD,Santé,Inde,National Stock Exchange Of India,INR
0MER,MANILA ELECTRIC,Services publics,Philippines,Philippine Stock Exchange Inc.,PHP
SUPREMEIND,SUPREME INDUSTRIES LTD,Industries,Inde,National Stock Exchange Of India,INR
161390,HANKOOK TIRE & TECHNOLOGY LTD,Biens de consommation cycliques,Corée,Korea Exchange (Stock Market),KRW
047050,POSCO INTERNATIONAL CORP,Industries,Corée,Korea Exchange (Stock Market),KRW
0JSL,JINDAL STAINLESS LTD,Matériaux,Inde,National Stock Exchange Of India,INR
0OIL,OIL INDIA LTD,Energie,Inde,National Stock Exchange Of India,INR
090430,AMOREPACIFIC CORP,Biens de consommation de base,Corée,Korea Exchange (Stock Market),KRW
323410,KAKAOBANK CORP,Finance,Corée,Korea Exchange (Stock Market),KRW
2474,CATCHER TECHNOLOGY LTD,Technologie de l'information,Taïwan,Taiwan Stock Exchange,TWD
TORNTPOWER,TORRENT POWER LTD,Services publics,Inde,National Stock Exchange Of India,INR
BAJAJHLDNG,BAJAJ HOLDINGS AND INVESTMENT LTD,Finance,Inde,National Stock Exchange Of India,INR
ALKEM,ALKEM LABORATORIES LTD,Santé,Inde,National Stock Exchange Of India,INR
ENRIN,SIEMENS ENERGY INDIA LTD,Industries,Inde,National Stock Exchange Of India,INR
COROMANDEL,COROMANDEL INTERNATIONAL LTD,Matériaux,Inde,National Stock Exchange Of India,INR
GODREJPROP,GODREJ PROPERTIES LTD,Immobilier,Inde,National Stock Exchange Of India,INR
MPHASIS,MPHASIS LTD,Technologie de l'information,Inde,National Stock Exchange Of India,INR
0126Z0,SAMSUNG EPIS HOLDINGS LTD,Santé,Corée,Korea Exchange (Stock Market),KRW
COLPAL,COLGATE PALMOLIVE INDIA LTD,Biens de consommation de base,Inde,National Stock Exchange Of India,INR
2588,BOC AVIATION LTD,Industries,Chine,Hong Kong Exchanges And Clearing Ltd,HKD
0BSE,BSE LTD,Finance,Inde,National Stock Exchange Of India,INR
