Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_persist20_6y,roe_persist20_6y,roic_downside_6y,roe_downside_6y,roic_drawdown_6y,roe_drawdown_6y,years_roic_6y,years_roe_6y,roic_persist10_6y,roe_persist10_6y,net_debt_to_ebit,total_equity,net_margin,revenue_growth_3y,assets_to_equity
"LYB","LYONDELLBASELL INDUSTRIES N.V.","","Etats-Unis","NYSE","USD","-6.48","1.43","2.06","6.87","11.92","6.54","3.97","2","4","1","2","4.34","14.06","90.07","111.59","6","6","2","5","13.47","10207000000.00","-2.45","-14.35","3.33"
"KBDC","KAYNE ANDERSON BDC INC.","","Etats-Unis","NYSE","USD","8.16","1.01","","11.46","3.03","","","","2","","0","","2.52","","42.21","0","5","","3","","1109931000.00","91.74","11.47","2.06"
"KGS","KODIAK GAS SERVICES INC.","","Etats-Unis","NYSE","USD","6.32","2.16","7.27","4.42","1.73","5.95","1.14","0","2","0","0","0.13","2.90","9.04","84.46","5","5","0","2","6.39","1207396000.00","6.24","24.03","3.58"
"SIG","SIGNET JEWELERS LTD.","","Etats-Unis","NYSE","USD","15.42","0.62","12.95","16.70","14.77","14.02","3.48","4","4","2","2","6.88","12.57","64.89","93.11","6","6","5","4","-1.03","1966200000.00","4.32","-2.52","3.03"
"SB","SAFE BULKERS INC.","","Etats-Unis","NYSE","USD","4.64","0.65","3.65","8.84","3.79","5.37","1.52","2","2","0","2","3.50","8.74","72.68","84.80","6","6","2","3","5.85","830707000.00","13.99","-1.53","1.69"
"KGC","KINROSS GOLD CORPORATION","","Etats-Unis","NYSE","USD","31.48","0.08","29.41","17.81","12.53","15.18","12.66","2","3","1","2","6.42","12.94","97.80","147.43","6","6","3","3","-0.85","8694100000.00","35.03","28.96","1.43"
"SA","SEABRIDGE GOLD INC.","","Etats-Unis","NYSE","USD","-5.40","0.53","","-4.45","0.82","","","","0","","0","","1.42","","3957.14","0","6","","0","","1124971000.00","","","1.57"
"MBI","MBIA INC.","","Etats-Unis","NYSE","USD","8.50","-1.49","1.15","23.65","15.05","-7.45","12.16","0","4","0","4","8.60","241.13","0.00","98.56","2","6","0","4","112.06","-2230000000.00","-228.75","265.15",""
"TPR","TAPESTRY INC.","","Etats-Unis","NYSE","USD","197.14","5.71","35.96","79.48","102.48","24.06","10.58","6","5","2","5","1.91","12.81","12.56","76.21","6","6","6","5","1.46","692100000.00","19.09","9.54","9.67"
"ENVA","ENOVA INTERNATIONAL INC.","","Etats-Unis","NYSE","USD","24.34","3.39","5.61","18.66","5.11","4.99","0.58","2","6","0","3","1.31","4.92","66.91","64.89","6","6","2","6","10.96","1336724000.00","9.78","22.00","4.84"
"SBH","SALLY BEAUTY HOLDINGS INC.","","Etats-Unis","NYSE","USD","27.54","1.97","10.40","33.51","10.83","10.35","1.11","2","6","0","6","1.32","23.20","40.01","96.32","6","6","4","6","4.31","794207000.00","5.29","-0.36","3.62"
"ARLO","ARLO TECHNOLOGIES INC.","","Etats-Unis","NYSE","USD","13.05","0.05","0.81","-13.30","23.07","-28.31","26.06","0","1","0","0","25.22","24.91","0.00","0.00","6","6","0","1","-26.30","127841000.00","2.82","3.81","2.43"
"ARI","APOLLO COMMERCIAL REAL ESTATE FINANCE INC.","","Etats-Unis","NYSE","USD","6.79","4.27","","1.16","6.44","","","","0","","0","","6.59","","151.36","0","6","","1","","1856090000.00","46.45","1.27","5.33"
"IVT","INVENTRUST PROPERTIES CORP.","","Etats-Unis","NYSE","USD","6.27","0.46","1.51","2.47","3.30","1.42","0.17","0","0","0","0","0.72","0.86","85.92","89.97","6","6","0","0","15.28","1794262000.00","37.24","7.54","1.55"
"ALLE","ALLEGION PLC","","Etats-Unis","NYSE","USD","36.08","0.96","18.73","42.08","5.86","19.08","0.37","6","6","2","6","0.37","6.88","13.77","40.46","6","6","6","6","1.89","2067600000.00","15.83","5.55","2.53"
"AHR","AMERICAN HEALTHCARE REIT, INC.","","Etats-Unis","NYSE","USD","2.50","0.50","2.74","-1.45","3.74","2.15","0.75","0","0","0","0","0.65","1.71","15.03","0.00","5","5","0","0","9.31","3360615000.00","3.13","10.26","1.61"
"F","FORD MOTOR COMPANY","","Etats-Unis","NYSE","USD","-20.19","4.61","-4.56","1.11","18.52","-0.29","3.70","0","2","0","1","4.46","14.67","257.79","144.78","6","6","0","3","","35980000000.00","-4.36","3.10","8.04"
"RYN","RAYONIER INC.","","Etats-Unis","NYSE","USD","23.53","0.47","2.14","17.35","7.47","5.97","4.47","0","2","0","1","1.84","5.29","80.33","41.57","6","6","1","3","2.38","2250198000.00","99.16","-32.30","1.51"
"KIND","NEXTDOOR HOLDINGS, INC.","","Etats-Unis","NYSE","USD","-19.38","0.09","-39.12","-21.66","3.16","-38.63","7.41","0","1","0","1","16.47","16.15","0.00","268.80","5","5","0","1","","453488000.00","-39.66","7.81","1.13"
"TYL","TYLER TECHNOLOGIES INC.","","Etats-Unis","NYSE","USD","8.90","0.17","8.45","7.73","1.55","6.92","1.74","0","0","0","0","1.21","1.36","46.18","39.14","6","6","0","0","-1.27","3702789000.00","13.53","9.32","1.52"
"TPC","TUTOR PERINI CORPORATION","","Etats-Unis","NYSE","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"RYAN","RYAN SPECIALTY HOLDINGS INC.","","Etats-Unis","NYSE","USD","18.21","2.82","3.84","20.66","2.14","3.91","0.09","0","6","0","4","0.07","3.53","3.27","82.85","2","6","0","6","6.54","1254051000.00","7.02","21.19","8.42"
"RYAM","RAYONIER ADVANCED MATERIALS INC.","","Etats-Unis","NYSE","USD","-79.92","2.38","0.56","-32.70","41.07","1.30","1.67","0","0","0","0","0.79","44.44","90.24","1008.18","6","6","0","0","62.56","327922000.00","-28.68","-5.54","5.36"
"TEL","TE CONNECTIVITY PLC","","Etats-Unis","NYSE","USD","14.61","0.46","11.24","19.33","6.27","12.33","1.02","4","5","0","3","3.46","13.22","25.51","44.76","6","6","5","5","1.35","12730000000.00","10.67","3.76","1.97"
"ANVS","ANNOVIS BIO, INC.","","Etats-Unis","NYSE","USD","-220.61","0.00","","-1308.70","1610.74","","","","0","","0","","1755.09","","0.00","0","6","","0","","16851250.00","","","1.25"
"AHH","ARMADA HOFFLER PROPERTIES, INC.","","Etats-Unis","NYSE","USD","0.45","1.99","2.51","2.12","2.51","2.54","0.34","0","0","0","0","0.86","2.83","13.15","96.21","6","6","0","1","19.59","829192000.00","1.37","-34.62","3.13"
"FHI","FEDERATED HERMES INC.","","Etats-Unis","NYSE","USD","34.30","0.36","32.52","28.18","5.61","26.73","5.10","6","6","5","6","1.94","2.44","14.25","16.07","6","6","6","6","-0.51","1263477000.00","23.00","5.77","1.76"
"EOG","EOG RESOURCES, INC.","","Etats-Unis","NYSE","USD","16.83","0.28","13.66","22.62","5.96","17.08","3.27","5","5","2","4","10.54","14.81","62.15","49.08","6","6","5","5","0.69","29833000000.00","22.05","-1.30","1.74"
"ABX","ABACUS GLOBAL MANAGEMENT, INC.","","Etats-Unis","NYSE","USD","8.86","0.98","7.39","1.49","10.43","3.67","5.27","0","0","0","0","3.73","7.38","0.00","0.00","2","2","0","0","4.37","418540930.00","15.86","110.18","2.16"
"AGX","ARGAN INC.","","Etats-Unis","NYSE","USD","33.85","0.01","54.74","23.92","11.50","37.46","19.43","5","2","4","2","6.88","2.31","32.04","1.05","6","6","6","5","-6.63","462262000.00","14.59","28.36","2.57"
"LYV","LIVE NATION ENTERTAINMENT, INC.","","Etats-Unis","NYSE","USD","-2.91","5.72","12.44","42.85","39.63","11.87","2.30","2","3","0","3","24.53","795.01","32.51","104.01","6","6","3","3","2.69","1818847000.00","-0.22","5.25","12.60"
"XYZ","BLOCK, INC.","","Etats-Unis","NYSE","USD","6.01","0.40","15.48","6.75","7.27","9.04","6.57","1","1","0","0","4.54","7.19","103.04","167.67","6","6","1","1","-4.71","22169882000.00","5.39","5.07","1.78"
"FHN","FIRST HORIZON CORPORATION","","Etats-Unis","NYSE","USD","10.94","0.17","","9.95","1.19","","","","1","","0","","1.10","","28.20","0","6","","5","","9142000000.00","30.03","2.63","9.17"
"AGRO","ADECOAGRO S.A.","","Etats-Unis","NYSE","USD","-0.42","1.09","0.95","8.38","9.63","4.23","2.88","0","2","0","0","3.47","7.00","91.90","102.25","6","6","1","2","17.81","1792291000.00","-0.47","4.84","2.93"
"LZB","LA-Z-BOY INC.","","Etats-Unis","NYSE","USD","9.83","0.53","7.44","10.79","1.63","7.82","0.52","2","4","0","0","2.07","2.76","50.37","48.32","6","6","3","4","1.75","1062674000.00","4.84","1.93","1.92"
"SHO","SUNSTONE HOTEL INVESTORS INC.","","Etats-Unis","NYSE","USD","1.21","0.48","3.68","4.32","4.69","2.91","1.02","0","0","0","0","6.30","12.37","47.13","87.55","6","6","0","0","10.78","1944618000.00","2.56","-1.34","0.12"
"U","UNITY SOFTWARE INC.","","Etats-Unis","NYSE","USD","-11.60","0.64","-10.71","-18.02","5.85","-12.72","1.80","0","0","0","0","4.22","5.37","0.00","0.00","6","6","0","0","","3496137000.00","-21.71","-8.04","1.96"
"LZM","LIFEZONE METALS LTD.","","Etats-Unis","NYSE","USD","-16.39","0.73","-15.87","-138.26","189.84","-158.06","220.45","0","0","0","0","209.82","183.40","824120.00","61650.00","6","6","0","0","","72832755.00","-1334.56","-15.43","2.41"
"MEI","METHODE ELECTRONICS INC.","","Etats-Unis","NYSE","USD","-5.21","0.51","0.68","-9.38","4.62","-0.49","1.22","0","1","0","0","4.30","11.54","117.05","207.73","6","6","1","2","23.76","677500000.00","-3.50","-4.37","1.93"
"ED","CONSOLIDATED EDISON, INC.","","Etats-Unis","NYSE","USD","8.77","1.17","3.46","9.73","1.95","3.43","0.22","0","0","0","0","0.28","1.70","21.38","29.49","6","6","0","1","8.92","24190000000.00","11.96","7.41","3.08"
"EMN","EASTMAN CHEMICAL COMPANY","","Etats-Unis","NYSE","USD","7.99","0.79","6.40","13.53","4.81","7.59","1.54","0","4","0","0","0.87","5.32","41.87","51.98","6","6","1","4","4.42","6037000000.00","5.43","-2.52","2.46"
"IVR","INVESCO MORTGAGE CAPITAL INC.","","Etats-Unis","NYSE","USD","13.25","0.00","","6.39","7.74","","","","1","","0","","70.76","","0.00","0","6","","1","","797544000.00","84.51","434.68","8.12"
"RYZ","RYERSON HOLDING CORPORATION","","Etats-Unis","NYSE","USD","-6.94","1.07","-1.12","-2.97","3.53","0.09","1.72","2","2","2","2","3.93","25.65","104.44","108.10","5","6","2","2","","763600000.00","-1.21","4387.09","3.15"
"ACHR","ARCHER AVIATION INC.","","Etats-Unis","NYSE","USD","-41.84","0.06","-66.27","-81.39","34.65","-66.27","","0","0","0","0","","17.92","","0.00","1","6","0","0","","2202800000.00","-206066.67","","1.12"
"TPL","TEXAS PACIFIC LAND CORPORATION","","Etats-Unis","NYSE","USD","37.15","0.01","40.17","41.18","3.79","59.16","19.77","6","6","6","6","20.96","5.37","65.47","40.71","6","6","6","6","-0.22","1458907000.00","60.31","12.42","1.11"
"ECO","OKEANIS ECO TANKERS CORP.","","Etats-Unis","NYSE","USD","25.00","1.06","11.54","28.86","5.36","12.28","1.28","1","5","0","5","4.74","14.87","74.08","100.94","6","6","3","5","3.01","573091238.00","31.40","-2.64","2.10"
"FMC","FMC CORPORATION","","Etats-Unis","NYSE","USD","-67.72","2.00","3.22","-8.79","52.68","5.33","1.86","2","4","0","3","3.96","51.53","77.36","300.83","6","6","3","4","10.89","2098900000.00","-64.53","-12.09","4.62"
"ACH","ACCENDRA HEALTH, INC.","","Etats-Unis","NYSE","USD","-2111.58","-4.60","7.64","-699.33","1223.07","5.37","4.43","0","1","0","0","1.21","1220.74","96.71","14281.20","6","6","0","1","8.29","-460978000.00","-39.85","-89.88",""
"SHW","THE SHERWIN-WILLIAMS COMPANY","","Etats-Unis","NYSE","USD","59.39","2.81","14.56","66.17","5.89","15.12","0.54","6","6","0","6","0.64","6.64","6.91","18.58","6","6","6","6","3.35","4598300000.00","10.90","1.13","5.63"
"XXI","TWENTY ONE CAPITAL, INC. - CLASS A","","Etats-Unis","NYSE","USD","","0.14","","","","","","","","","","","","","","0","0","","","","3440068271.00","","","1.14"
"TWI","TITAN INTERNATIONAL INC.","","Etats-Unis","NYSE","USD","-12.05","1.36","0.69","2.29","16.08","5.96","7.99","2","3","1","2","7.26","30.10","97.50","120.52","6","6","3","3","24.46","521617000.00","-3.35","0.18","3.21"
"T","AT&T INC.","","Etats-Unis","NYSE","USD","18.81","1.21","6.00","14.29","4.31","5.52","0.49","0","2","0","0","0.51","11.92","8.92","141.08","6","6","0","4","5.47","128492000000.00","18.61","1.31","3.27"
"TWLO","TWILIO INC.","","Etats-Unis","NYSE","USD","0.43","0.14","1.70","-3.61","5.61","-0.90","2.86","0","0","0","0","4.46","2.81","0.00","0.00","6","6","0","0","-7.95","7821546000.00","0.67","10.45","1.25"
"TWO","TWO HARBORS INVESTMENT CORP.","","Etats-Unis","NYSE","USD","-23.24","0.73","","-4.77","18.52","","","","1","","0","","34.04","","268.53","0","6","","1","","1787927000.00","-394.84","91.91","6.07"
"AMP","AMERIPRISE FINANCIAL, INC.","","Etats-Unis","NYSE","USD","60.51","0.90","3.07","62.91","4.68","3.05","0.03","0","6","0","6","0.02","19.71","0.00","11.42","2","6","0","6","-11.97","6549000000.00","19.28","9.07","29.15"
"ARIS","ARIS WATER SOLUTIONS INC.","","Etats-Unis","NYSE","USD","","0.36","","","","","","","","","","","","","","0","0","","","","1446060000.00","","","1.73"
"AIG","AMERICAN INTERNATIONAL GROUP INC.","","Etats-Unis","NYSE","USD","7.40","0.22","2.75","4.54","5.65","2.59","0.23","0","2","0","1","0.16","11.05","0.00","109.82","2","6","0","2","-6.83","41162000000.00","11.57","-24.72","3.92"
"KIM","KIMCO REALTY CORPORATION","","Etats-Unis","NYSE","USD","5.54","0.79","2.79","5.49","1.38","2.93","0.14","0","1","0","0","0.42","3.18","20.79","93.48","6","6","0","2","11.28","10567878000.00","27.70","9.55","1.86"
"ALL","ALLSTATE CORPORATION","","Etats-Unis","NYSE","USD","39.52","0.24","9.48","20.63","20.53","7.03","3.47","0","3","0","2","2.46","13.61","0.00","134.25","2","6","0","3","0.14","30589000000.00","15.31","8.38","3.92"
"ABT","ABBOTT LABORATORIES","","Etats-Unis","NYSE","USD","12.96","0.26","9.41","19.66","9.80","9.20","0.71","2","6","0","2","1.02","3.29","36.24","58.07","6","6","2","6","0.61","52771000000.00","14.72","5.13","1.64"
"TXNM","TXNM ENERGY INC.","","Etats-Unis","NYSE","USD","5.61","1.65","3.22","6.84","3.07","3.07","0.71","0","0","0","0","0.52","2.85","38.99","52.93","6","6","0","1","12.91","3459535000.00","7.84","5.68","3.49"
"JELD","JELD-WEN HOLDING, INC.","","Etats-Unis","NYSE","USD","-174.43","14.81","-1.73","-64.07","97.05","1.38","3.17","0","1","0","0","3.66","106.36","124.03","1054.21","6","6","0","1","","92216000.00","-19.35","-13.63","22.80"
"AI","C3.AI INC.","","Etats-Unis","NYSE","USD","-63.05","0.01","-95.93","-42.60","17.76","-70.38","22.17","0","0","0","0","26.02","19.53","0.00","0.00","6","6","0","0","","653751000.00","-187.95","-10.23","1.25"
"XYL","XYLEM INC.","","Etats-Unis","NYSE","USD","8.40","0.18","7.60","8.58","0.28","6.79","0.70","0","1","0","0","0.69","0.26","26.22","39.00","6","6","0","2","0.44","11749000000.00","10.51","10.77","1.50"
"ECVT","ECOVYST INC.","","Etats-Unis","NYSE","USD","-10.91","0.71","4.01","-0.60","10.49","4.77","0.71","0","0","0","0","2.26","10.66","27.62","207.17","6","6","0","2","2.98","603440000.00","-9.83","2.32","2.09"
"S","SENTINELONE INC.","","Etats-Unis","NYSE","USD","-29.02","0.01","-29.09","-22.51","5.85","-31.36","1.99","0","1","0","1","6.76","11.68","0.00","211.12","6","6","0","1","","1437145000.00","-45.02","26.96","1.70"
"V","VISA INC. CLASS A","","Etats-Unis","NYSE","USD","52.07","0.66","41.71","49.76","2.91","39.32","2.29","6","6","6","6","9.64","10.02","0.00","0.00","6","6","6","6","0.23","37909000000.00","50.14","10.68","2.63"
"TXT","TEXTRON INC.","","Etats-Unis","NYSE","USD","12.22","0.49","6.86","12.30","0.73","7.17","0.92","0","3","0","0","1.89","3.89","21.46","11.10","6","6","0","5","1.85","7875000000.00","6.22","4.00","2.30"
"JEF","JEFFERIES FINANCIAL GROUP INC.","","Etats-Unis","NYSE","USD","6.54","2.23","11.94","5.43","2.46","10.88","1.38","0","1","0","0","2.66","2.75","20.21","84.39","6","6","3","1","-0.94","10642609000.00","6.30","20.60","7.14"
"ESTC","ELASTIC N.V.","","Etats-Unis","NYSE","USD","33.38","0.46","-2.83","10.42","23.18","-7.94","6.66","0","1","0","1","11.59","26.64","0.00","219.52","6","6","0","2","","1276500000.00","21.14","17.15","2.47"
"ANRO","ALTO NEUROSCIENCE INC.","","Etats-Unis","NYSE","USD","-41.80","0.16","","-43.28","109.98","","","0","3","0","3","","173.19","","241.39","1","5","0","3","","151142000.00","","","1.22"
"ITT","ITT INC.","","Etats-Unis","NYSE","USD","14.32","0.21","14.31","17.07","2.67","15.56","1.09","4","5","0","0","3.72","7.06","12.26","27.12","6","6","5","5","-1.28","4091300000.00","12.47","9.53","1.54"
"FNF","FIDELITY NATIONAL FINANCIAL, INC.","","Etats-Unis","NYSE","USD","7.76","0.53","1.50","10.85","5.68","1.94","0.62","0","4","0","1","0.44","7.54","36.97","76.62","2","6","0","4","-16.43","8972000000.00","4.80","10.78","12.15"
"XPRO","EXPRO GROUP HOLDINGS N.V.","","Etats-Unis","NYSE","USD","3.42","0.11","4.44","1.78","3.11","3.79","1.90","0","0","0","0","4.67","28.85","15.75","8.31","6","6","0","0","-0.24","1534123000.00","3.22","3.07","1.47"
"USB","U.S. BANCORP","","Etats-Unis","NYSE","USD","12.18","1.04","","11.14","0.99","","","","2","","0","","1.09","","30.33","0","6","","5","","65651000000.00","26.62","0.94","10.55"
"ARW","ARROW ELECTRONICS INC.","","Etats-Unis","NYSE","USD","9.12","0.46","7.56","10.56","4.72","9.00","2.62","3","3","0","2","2.54","4.92","56.53","74.36","6","6","3","4","2.96","6658699000.00","1.85","-3.46","4.37"
"ZVIA","ZEVIA PBC","","Etats-Unis","NYSE","USD","-28.43","0.02","-35.82","-37.77","8.62","-49.76","12.08","0","1","0","1","75.30","12.36","0.00","126.91","6","6","0","1","","35601000.00","-6.92","-1.56","1.79"
"TAP","MOLSON COORS BEVERAGE COMPANY","","Etats-Unis","NYSE","USD","-18.17","0.60","5.81","-0.77","15.09","5.73","0.41","0","0","0","0","1.22","13.81","34.52","311.03","6","6","0","0","3.35","10542700000.00","-19.57","-2.43","2.16"
"ARX","ACCELERANT HOLDINGS LTD CLASS A ORDINARY SHARES","","Etats-Unis","NYSE","USD","-233.26","0.17","-18.67","-83.07","130.86","-6.17","10.87","0","0","0","0","17.81","210.90","1912.62","3733.33","3","3","0","0","","726400000.00","-152.95","64.38","11.38"
"MET","METLIFE INC.","","Etats-Unis","NYSE","USD","12.02","0.70","0.69","10.89","5.11","0.80","0.16","0","2","0","0","0.11","3.35","24.18","50.97","2","6","0","3","-17.15","28921000000.00","4.50","6.74","25.77"
"ENPC","EXECUTIVE NETWORK PARTNERING CORP","","Etats-Unis","NYSE","USD","0.36","0.00","","0.36","","","","","0","","0","","","","","0","1","","0","","405591787.00","","","1.02"
"LXU","LSB INDUSTRIES INC.","","Etats-Unis","NYSE","USD","4.87","0.94","4.70","2.15","5.18","2.95","2.96","1","1","1","1","4.49","12.56","101.70","108.12","6","6","1","1","5.95","519973000.00","4.00","1.79","2.26"
"SKE","SKEENA RESOURCES LTD.","","Etats-Unis","NYSE","USD","-146.43","0.40","","-139.90","9.23","","","","0","","0","","266.11","","0.00","0","5","","0","","159124000.00","","","4.84"
"ANF","ABERCROMBIE & FITCH CO.","","Etats-Unis","NYSE","USD","37.16","0.82","38.12","41.05","5.87","37.65","8.39","4","4","4","4","18.50","32.14","77.92","95.53","6","6","4","4","-0.54","1420411000.00","9.78","10.92","2.49"
"MBC","MASTERBRAND, INC.","","Etats-Unis","NYSE","USD","2.02","0.87","3.44","9.55","7.27","7.85","4.17","0","1","0","0","2.59","3.84","70.67","87.77","6","6","1","2","7.38","1344600000.00","0.98","0.16","2.31"
"FND","FLOOR & DECOR HOLDINGS, INC.","","Etats-Unis","NYSE","USD","9.11","0.83","5.02","10.95","2.43","6.56","1.57","1","4","0","2","2.80","6.01","62.17","62.68","6","6","2","5","6.45","2408836000.00","4.45","3.02","2.27"
"ZBH","ZIMMER BIOMET HOLDINGS, INC.","","Etats-Unis","NYSE","USD","5.60","0.59","5.74","7.07","1.39","6.30","0.50","0","0","0","0","1.65","3.59","14.58","41.80","6","6","0","0","5.11","12705800000.00","8.57","5.51","1.82"
"IT","GARTNER INC.","","Etats-Unis","NYSE","USD","86.86","10.47","31.08","134.69","54.67","29.89","2.85","5","6","5","6","9.67","55.45","2.72","67.80","6","6","6","6","1.38","319908000.00","11.22","4.88","25.27"
"ENR","ENERGIZER HOLDINGS INC.","","Etats-Unis","NYSE","USD","156.36","20.79","10.88","86.89","67.30","8.66","2.10","0","4","0","4","1.31","84.57","19.93","296.67","6","6","1","4","7.21","169900000.00","8.09","-0.12","26.82"
"TSN","TYSON FOODS INC.","","Etats-Unis","NYSE","USD","2.76","0.48","2.87","1.27","4.15","2.28","1.26","0","3","0","0","3.31","8.40","92.48","118.52","6","6","2","3","5.27","18227000000.00","0.93","1.46","2.01"
"TSLX","SIXTH STREET SPECIALTY LENDING INC.","","Etats-Unis","NYSE","USD","10.61","1.08","","12.76","2.60","","","","4","","0","","3.72","","52.47","0","6","","5","","1607721000.00","78.73","-11.00","2.13"
"JOBY","JOBY AVIATION, INC.","","Etats-Unis","NYSE","USD","-80.09","0.03","-78.74","-63.07","16.72","-73.77","10.01","0","1","0","1","1.58","26.15","0.00","298.64","3","6","0","1","","1409713000.00","-1740.46","619.50","1.27"
"TK","TEEKAY CORPORATION LTD.","","Etats-Unis","NYSE","USD","17.18","0.02","23.59","23.78","7.98","35.88","10.84","3","3","3","2","13.43","9.98","165.64","103.80","6","6","3","3","-4.48","2162603000.00","37.07","-19.49","0.54"
"KVUE","KENVUE INC.","","Etats-Unis","NYSE","USD","14.39","0.81","9.21","11.64","2.41","8.77","0.47","0","1","0","0","0.55","8.81","21.07","7.93","6","6","1","4","2.80","10765000000.00","9.72","-1.04","2.52"
"AMTM","AMENTUM HOLDINGS, INC.","","Etats-Unis","NYSE","USD","1.29","0.90","2.86","-6.44","9.66","2.76","0.52","0","0","0","0","0.61","10.20","45.41","0.00","4","4","0","0","8.92","4620000000.00","0.41","35.28","2.48"
"ACN","ACCENTURE PLC CLASS A","","Etats-Unis","NYSE","USD","25.51","0.25","22.63","26.88","1.49","24.01","1.83","6","6","6","6","3.43","2.49","28.00","21.80","6","6","6","6","-0.30","32240967000.00","11.24","4.25","2.03"
"FNB","F.N.B. CORPORATION","","Etats-Unis","NYSE","USD","8.65","0.46","","8.16","0.57","","","","0","","0","","1.36","","9.17","0","6","","0","","6759000000.00","32.01","5.99","7.43"
"ANGX","ANGEL STUDIOS, INC.","","Etats-Unis","NYSE","USD","3758.47","-3.90","-302.10","1614.55","3031.95","-239.68","88.28","0","1","0","1","62.42","2143.92","0.00","0.00","2","2","0","1","","-25780324.00","-53.02","233.16",""
"KVYO","KLAVIYO INC.","","Etats-Unis","NYSE","USD","-2.85","0.10","-13.30","166.73","295.35","-33.58","31.18","0","1","0","1","36.52","6.87","0.00","100.93","5","5","0","1","","1196560000.00","-2.57","32.95","1.32"
"AMT","AMERICAN TOWER CORPORATION","","Etats-Unis","NYSE","USD","26.28","4.34","7.06","20.09","7.50","6.18","1.06","0","5","0","4","1.04","8.79","34.32","68.31","6","6","0","6","8.82","10355300000.00","24.69","-2.27","6.10"
"ANET","ARISTA NETWORKS, INC.","","Etats-Unis","NYSE","USD","31.40","0.00","45.22","33.01","1.55","48.15","4.18","6","6","6","5","11.22","8.23","14.58","8.96","6","6","6","6","-2.79","12370500000.00","38.99","23.97","1.57"
"TALO","TALOS ENERGY INC.","","Etats-Unis","NYSE","USD","-20.10","0.57","-1.59","-3.98","15.71","1.93","3.21","2","1","1","1","5.83","23.57","105.82","150.69","6","6","2","2","","2168123000.00","-27.83","10.50","2.56"
"JLL","JONES LANG LASALLE INC.","","Etats-Unis","NYSE","USD","10.91","0.34","8.48","7.58","3.70","6.88","1.50","0","2","0","0","1.22","3.72","38.06","77.42","6","6","0","3","1.70","7623000000.00","3.03","12.16","2.34"
