Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_persist20_6y,roe_persist20_6y,roic_downside_6y,roe_downside_6y,roic_drawdown_6y,roe_drawdown_6y,years_roic_6y,years_roe_6y,roic_persist10_6y,roe_persist10_6y,net_debt_to_ebit,total_equity,net_margin,revenue_growth_3y,assets_to_equity
OSCR,"OSCAR HEALTH, INC.",,Etats-Unis,NYSE,USD,-44.35,0.44,-10.34,-24.45,24.47,-4.39,8.41,0,1,0,1,5.95,660.91,762.82,3867.82,2,6,0,1,,980735000.00,-3.79,41.29,6.45
OSG,"OCTAVE SPECIALTY GROUP, INC.",,Etats-Unis,NYSE,USD,-22.71,0.11,-1.28,-25.49,44.95,1.98,5.30,0,1,0,0,2.36,42.07,157.05,498.50,6,6,0,1,,1086166000.00,-104.20,-25.82,2.05
OSK,OSHKOSH CORPORATION,,Etats-Unis,NYSE,USD,14.90,0.24,10.38,16.53,1.41,11.44,1.03,2,4,0,0,3.15,6.51,57.56,64.93,6,6,4,4,0.66,4530500000.00,6.21,3.88,2.22
HIMS,"HIMS & HERS HEALTH, INC.",,Etats-Unis,NYSE,USD,25.23,2.07,10.79,16.25,20.48,6.58,17.95,1,3,1,2,35.51,69.21,51.07,1030.17,6,6,2,3,5.14,540928000.00,5.47,64.08,3.98
COLD,AMERICOLD REALTY TRUST,,Etats-Unis,NYSE,USD,-3.70,1.54,2.05,-5.16,3.41,2.10,0.23,0,0,0,0,0.52,4.40,36.54,1493.85,6,6,0,0,21.54,2922013000.00,-4.43,-1.35,2.78
COHR,COHERENT CORP.,,Etats-Unis,NYSE,USD,7.98,0.31,5.84,2.09,5.25,3.13,2.56,2,1,1,1,3.04,6.54,98.96,111.19,6,6,2,1,1.72,11238200000.00,11.05,22.96,1.63
OTIS,OTIS WORLDWIDE CORPORATION,,Etats-Unis,NYSE,USD,-29.10,-1.61,51.92,-32.58,3.85,56.24,4.03,6,0,6,0,8.94,6.84,13.31,0.00,6,6,6,0,3.34,-5271000000.00,10.08,0.78,
MTZ,"MASTEC, INC. COMMON STOCK",,Etats-Unis,NYSE,USD,13.35,0.84,8.18,6.20,7.57,4.84,3.68,0,3,0,0,4.11,8.77,90.26,110.75,6,6,0,3,3.68,3334521000.00,2.95,9.18,2.98
BOBS,"BOB'S DISCOUNT FURNITURE, INC.",,Etats-Unis,NYSE,USD,38.76,7.19,10.68,26.48,10.64,9.15,1.34,0,3,0,3,0.45,0.55,5.23,0.00,3,3,1,3,6.20,163920000.00,5.14,8.59,11.05
MTW,MANITOWOC COMPANY INC.,,Etats-Unis,NYSE,USD,1.08,0.74,3.01,5.64,4.09,4.37,2.06,0,0,0,0,0.38,12.94,55.34,1326.19,6,6,0,0,7.45,695200000.00,0.32,0.29,2.62
OTF,BLUE OWL TECHNOLOGY FINANCE CORP.,,Etats-Unis,NYSE,USD,12.35,0.78,,10.58,2.50,7.03,,0,1,0,0,,1.77,,0.00,1,2,0,1,,8041598000.00,92.43,120.49,1.83
GIL,GILDAN ACTIVEWEAR INC.,,Etats-Unis,NYSE,USD,15.90,1.30,10.68,22.39,6.02,14.27,3.12,4,5,2,4,10.35,23.85,58.72,54.45,6,6,5,5,5.87,3562221000.00,11.02,6.42,2.94
BKSY,BLACKSKY TECHNOLOGY INC.,,Etats-Unis,NYSE,USD,-74.40,2.21,-19.32,-61.88,12.17,-23.67,6.12,0,1,0,1,21.91,161.49,0.00,662.15,6,6,0,1,,94875000.00,-65.93,6.20,4.07
WMB,"THE WILLIAMS COMPANIES, INC.",,Etats-Unis,NYSE,USD,18.56,1.96,6.30,19.06,3.55,6.11,0.86,0,4,0,1,0.83,8.52,24.53,30.88,6,6,0,5,6.65,14995000000.00,23.16,4.67,3.91
HUM,HUMANA INC.,,Etats-Unis,NYSE,USD,7.04,0.70,6.09,10.04,4.89,6.23,0.20,0,4,0,1,0.14,7.80,4.40,71.30,2,6,0,4,-3.45,17737000000.00,0.93,10.41,2.76
CSL,CARLISLE COMPANIES INC.,,Etats-Unis,NYSE,USD,34.79,1.60,16.95,36.86,11.81,15.65,2.38,4,6,0,4,4.24,12.47,12.47,29.82,6,6,4,6,1.77,1795400000.00,14.76,4.61,3.49
BH.A,BIGLARI HOLDINGS INC.,,Etats-Unis,NYSE,USD,-6.84,0.69,2.66,0.71,8.31,3.56,1.52,0,0,0,0,0.81,3.31,50.74,191.72,6,6,0,0,0.95,523429000.00,-9.48,4.02,1.96
PHM,PULTEGROUP INC.,,Etats-Unis,NYSE,USD,17.67,0.18,15.75,24.01,5.50,19.55,3.38,6,6,4,5,4.16,6.43,36.47,44.63,6,6,6,6,-0.10,12985442000.00,12.82,3.82,1.39
HUN,HUNTSMAN CORPORATION,,Etats-Unis,NYSE,USD,-7.42,0.81,-0.28,-2.35,5.94,0.60,0.77,0,3,0,2,1.76,11.72,102.77,125.57,6,6,1,3,,2957000000.00,-3.99,-3.57,2.37
CSLT,CASTLIGHT HEALTH INC,,Etats-Unis,NYSE,USD,12.79,-0.03,-22.24,10.52,1.97,-60.04,32.74,0,1,0,0,0.18,0.37,0.00,3.87,3,3,0,1,,-517209000.00,-42.39,-3.15,
BGS,B&G FOODS INC.,,Etats-Unis,NYSE,USD,-8.85,4.42,5.12,-17.85,16.54,5.22,0.11,0,1,0,0,0.74,18.98,29.62,332.77,6,6,0,1,10.60,452925000.00,-2.37,-5.83,6.26
CSPR,CASPER SLEEP INC,,Etats-Unis,NYSE,USD,24.20,-0.16,-71.33,26.41,3.12,-77.99,9.42,0,2,0,2,6.66,2.21,0.00,15.41,2,2,0,2,,-414781000.00,-18.02,13.15,
CSQR,"CSQUARE, INC.",,Etats-Unis,NYSE,USD,-36.80,-44.44,1.52,11.06,67.68,0.40,1.58,0,1,0,1,1.12,47.86,0.00,162.47,2,2,0,1,54.71,-126746000.00,-12.15,8.75,
VLTO,VERALTO CORPORATION,,Etats-Unis,NYSE,USD,36.50,0.93,23.60,40.42,7.01,23.31,0.25,5,5,5,5,0.49,9.69,1.14,24.76,5,5,5,5,0.66,3106000000.00,17.08,4.69,2.48
HUBS,"HUBSPOT, INC.",,Etats-Unis,NYSE,USD,2.31,0.13,-2.82,-4.22,9.61,-7.83,5.02,0,0,0,0,4.33,3.05,0.00,0.00,6,6,0,0,-126.28,2066244000.00,1.47,20.12,1.87
HUBB,HUBBELL INC.,,Etats-Unis,NYSE,USD,24.98,0.64,16.05,26.50,2.29,16.26,0.69,4,6,0,4,3.92,5.39,7.81,14.25,6,6,5,6,1.65,3857900000.00,15.26,4.30,2.13
PH,PARKER-HANNIFIN CORPORATION,,Etats-Unis,NYSE,USD,25.08,0.55,14.24,25.96,1.27,13.17,1.30,2,6,0,5,1.17,5.04,14.80,26.59,6,6,6,6,1.73,15413000000.00,16.97,3.86,2.00
GETY,"GETTY IMAGES HOLDINGS, INC. CLASS A COMMON STOCK",,Etats-Unis,NYSE,USD,-31.26,3.33,6.03,-7.52,20.60,6.37,0.32,0,1,0,1,0.45,17.16,27.00,190.69,6,6,0,1,10.34,600626000.00,-21.01,3.47,5.39
PFS,PROVIDENT FINANCIAL SERVICES INC.,,Etats-Unis,NYSE,USD,10.72,0.86,,7.97,2.67,,,,0,,0,,2.78,,49.53,0,6,,3,,2833212000.00,33.45,34.76,8.82
WM,"WASTE MANAGEMENT, INC.",,Etats-Unis,NYSE,USD,29.70,2.29,9.03,33.01,3.27,9.62,0.61,0,6,0,6,1.10,7.14,11.82,18.05,6,6,1,6,4.93,9991000000.00,10.75,11.08,4.59
PFSI,PENNYMAC FINANCIAL SERVICES INC.,,Etats-Unis,NYSE,USD,12.31,5.35,1.87,8.30,4.09,1.83,0.20,0,4,0,2,0.86,5.81,71.30,91.50,6,6,0,4,39.98,4308976000.00,11.34,47.23,6.82
MOS,MOSAIC COMPANY,,Etats-Unis,NYSE,USD,4.83,0.43,3.25,5.44,4.10,3.61,1.91,1,2,0,1,2.29,4.42,90.07,94.67,6,6,2,2,4.64,12234200000.00,4.77,-6.19,2.00
VMC,VULCAN MATERIALS COMPANY,,Etats-Unis,NYSE,USD,12.92,0.57,7.66,12.51,0.72,7.68,0.18,0,2,0,0,1.10,1.76,17.00,19.91,6,6,0,4,3.00,8548900000.00,13.58,1.02,1.95
WMS,"ADVANCED DRAINAGE SYSTEMS, INC.",,Etats-Unis,NYSE,USD,23.88,0.92,15.10,33.34,10.80,20.94,5.43,6,6,3,6,3.92,5.00,41.59,50.97,6,6,6,6,2.11,1955964000.00,14.06,3.01,2.30
PG,PROCTER & GAMBLE CO,,Etats-Unis,NYSE,USD,30.29,0.64,16.79,30.74,0.48,17.33,0.49,6,6,0,6,0.35,0.47,5.36,4.27,6,6,6,6,1.27,54311000000.00,18.55,1.77,2.33
HSY,THE HERSHEY COMPANY,,Etats-Unis,NYSE,USD,18.89,1.24,9.76,39.87,18.17,19.07,8.10,5,6,5,5,7.12,19.39,60.18,68.18,6,6,5,6,3.29,4636750000.00,7.55,2.34,2.96
BHC,BAUSCH HEALTH COMPANIES INC.,,Etats-Unis,NYSE,USD,436.36,55.31,6.49,-71.51,569.06,5.72,0.67,0,2,0,2,0.84,334.84,4.01,0.00,6,6,0,2,8.94,377000000.00,1.17,8.27,69.94
HTGC,HERCULES CAPITAL INC.,,Etats-Unis,NYSE,USD,16.16,1.04,,17.03,3.68,,,,5,,1,,4.47,,57.19,0,6,,5,,2216053000.00,77.47,1.40,2.07
PGR,PROGRESSIVE CORPORATION,,Etats-Unis,NYSE,USD,40.45,0.23,11.30,33.00,10.04,10.05,1.77,0,5,0,4,1.25,14.73,0.00,87.37,2,6,1,5,-0.89,30323000000.00,12.90,18.81,4.06
GEV,GE VERNOVA INC.,,Etats-Unis,NYSE,USD,42.63,0.10,5.32,18.11,23.73,0.50,5.38,0,2,0,1,9.17,22.03,0.00,0.00,4,4,0,2,-5.86,12296000000.00,12.82,7.02,5.12
WLY,JOHN WILEY & SONS INC.,,Etats-Unis,NYSE,USD,27.69,0.91,12.18,5.51,25.56,9.77,2.09,1,3,0,1,1.54,20.99,22.46,265.19,6,6,1,4,2.34,848242000.00,13.22,-5.39,3.06
PHR,PHREESIA INC.,,Etats-Unis,NYSE,USD,0.77,0.30,-2.08,-24.22,25.81,-29.37,30.93,0,0,0,0,27.59,18.04,0.00,0.00,6,6,0,0,,337207000.00,0.48,16.14,1.97
TGT,TARGET CORPORATION,,Etats-Unis,NYSE,USD,24.03,1.26,12.54,28.90,4.76,13.46,0.85,6,6,2,6,1.01,5.02,69.41,54.64,6,6,6,6,1.82,16165000000.00,3.54,-1.23,3.68
VLN,VALENS SEMICONDUCTOR LTD.,,Etats-Unis,NYSE,USD,-25.50,0.08,-43.32,-20.39,7.45,-39.10,8.13,0,1,0,1,9.65,19.61,0.00,322.28,6,6,0,1,,104983000.00,-44.72,-8.39,1.28
BF.B,BROWN-FORMAN CORPORATION,,Etats-Unis,NYSE,USD,17.85,0.62,13.32,23.72,6.19,13.24,0.10,6,6,0,5,0.94,6.70,30.57,47.50,6,6,6,6,1.90,4020000000.00,18.20,-3.04,1.96
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,,Etats-Unis,NYSE,USD,14.75,1.31,7.18,10.83,4.16,5.40,1.85,0,1,0,0,1.30,2.79,6.43,9.38,6,6,0,2,5.10,1339291000.00,6.58,10.14,2.90
PL,PLANET LABS PBC,,Etats-Unis,NYSE,USD,-78.40,2.45,-26.18,-43.25,30.44,-35.12,10.03,0,0,0,0,8.70,57.09,0.00,0.00,6,6,0,0,,188431000.00,-80.22,18.08,6.08
MOG.A,MOOG INC.,,Etats-Unis,NYSE,USD,12.20,0.47,9.62,11.73,0.55,9.67,0.46,0,1,0,0,1.19,6.22,5.22,8.07,6,6,1,5,2.16,1992555000.00,6.09,7.85,2.22
CTO,"CTO REALTY GROWTH, INC.",,Etats-Unis,NYSE,USD,1.71,1.09,2.45,0.83,1.08,1.69,0.88,0,1,0,1,0.63,1.14,61.38,101.65,6,6,0,1,17.19,567346000.00,6.75,17.07,2.23
GENI,GENIUS SPORTS LTD.,,Etats-Unis,NYSE,USD,-17.21,0.04,-20.95,-14.37,3.13,-13.42,6.64,0,1,0,1,49.99,111.73,0.00,1060.86,6,6,0,1,,724475000.00,-16.67,27.32,1.56
CTOS,"CUSTOM TRUCK ONE SOURCE, INC.",,Etats-Unis,NYSE,USD,-3.72,2.99,3.23,-0.44,5.25,3.79,1.36,0,1,0,1,1.50,25.90,83.57,164.05,6,6,0,1,17.03,809103000.00,-1.60,2.09,4.25
CTRE,CARETRUST REIT INC.,,Etats-Unis,NYSE,USD,9.17,0.22,2.32,6.54,2.33,2.83,1.41,0,0,0,0,2.02,4.61,66.28,109.60,6,6,0,0,3.25,4058968000.00,86.70,36.39,1.27
CTRI,CENTURI HOLDINGS INC.,,Etats-Unis,NYSE,USD,3.15,1.07,3.80,-13.62,25.09,4.21,0.86,0,0,0,0,0.91,34.10,30.38,711.96,5,5,0,0,8.74,878393000.00,0.76,1.43,2.74
BETA,"BETA TECHNOLOGIES, INC.",,Etats-Unis,NYSE,USD,-41.03,0.11,-28.92,-41.03,,-28.92,,0,0,0,0,,,,,1,1,0,0,,1817836000.00,-2094.19,,1.16
PLD,PROLOGIS INC.,,Etats-Unis,NYSE,USD,6.13,0.62,3.11,6.18,0.58,2.99,0.11,0,0,0,0,0.40,1.27,3.02,33.88,6,6,0,0,10.11,57754008000.00,40.56,4.67,1.71
HWM,HOWMET AEROSPACE INC.,,Etats-Unis,NYSE,USD,30.44,0.60,19.56,25.79,5.29,15.59,4.13,2,4,0,3,2.51,7.86,0.00,0.27,6,6,3,4,1.16,5353000000.00,18.27,11.48,2.09
VLO,VALERO ENERGY CORPORATION,,Etats-Unis,NYSE,USD,8.30,0.44,7.44,17.64,14.13,11.55,7.61,2,2,2,2,6.13,8.95,75.68,84.18,6,6,2,3,1.63,26605000000.00,1.83,-7.94,2.18
BFH,BREAD FINANCIAL HOLDINGS INC.,,Etats-Unis,NYSE,USD,16.24,1.32,,17.74,9.31,,,0,4,0,2,3.73,4.46,0.00,79.10,2,6,1,5,,3327000000.00,13.47,-5.38,6.81
PKG,PACKAGING CORPORATION OF AMERICA,,Etats-Unis,NYSE,USD,,0.95,,,,,,,,,,,,,,0,0,,,,4598000000.00,,,2.33
CSTM,CONSTELLIUM SE,,Etats-Unis,NYSE,USD,32.39,2.00,9.21,18.63,12.64,7.38,1.86,0,5,0,3,1.48,11.92,51.11,97.27,6,6,1,5,3.85,971000000.00,3.25,8.03,5.51
BG,BUNGE GLOBAL S.A.,,Etats-Unis,NYSE,USD,5.94,0.91,3.17,12.61,7.98,7.77,5.21,1,4,0,2,3.95,8.25,76.38,79.68,6,6,3,5,10.53,17422000000.00,1.20,8.68,2.56
PII,POLARIS INC.,,Etats-Unis,NYSE,USD,-43.70,2.00,0.82,1.45,42.19,8.03,8.05,4,3,3,3,12.24,41.39,96.04,204.82,6,6,4,4,44.51,832900000.00,-6.50,-10.53,5.88
CSW,CSW INDUSTRIALS INC.,,Etats-Unis,NYSE,USD,10.44,0.88,9.04,11.52,1.52,11.20,3.06,1,1,0,0,2.16,1.08,32.39,17.08,2,2,1,2,4.95,1069398000.00,10.42,23.25,2.17
GEO,"THE GEO GROUP, INC.",,Etats-Unis,NYSE,USD,17.92,1.15,6.28,9.69,7.79,6.97,0.72,0,3,0,0,1.35,4.99,18.65,84.86,6,6,0,3,5.61,1504134000.00,9.66,4.43,2.56
MOH,MOLINA HEALTHCARE INC.,,Etats-Unis,NYSE,USD,11.02,0.97,15.72,22.83,10.36,29.75,12.27,6,5,5,5,10.69,9.88,59.43,65.68,6,6,6,6,-5.51,4069000000.00,1.04,15.47,3.83
PIPR,PIPER SANDLER COMPANIES,,Etats-Unis,NYSE,USD,19.61,0.07,,12.99,6.05,,,,2,,1,,3.07,,74.75,0,6,,3,,1582793000.00,16.01,18.86,1.64
PJT,PJT PARTNERS INC.,,Etats-Unis,NYSE,USD,32.42,0.41,26.07,25.82,7.30,22.82,4.00,6,6,5,5,4.00,6.23,34.32,41.77,6,6,6,6,-0.34,1009043000.00,18.07,21.90,1.83
PK,PARK HOTELS & RESORTS INC.,,Etats-Unis,NYSE,USD,-8.31,1.32,2.11,0.15,7.54,2.49,0.41,0,0,0,0,4.41,16.39,27.74,235.34,6,6,0,0,16.88,3076000000.00,-10.90,-2.95,2.50
WNC,WABASH NATIONAL CORPORATION,,Etats-Unis,NYSE,USD,75.81,1.24,25.11,16.07,81.29,8.48,31.47,3,3,2,3,23.27,58.69,198.86,256.46,6,6,3,3,1.32,368542000.00,13.72,-22.01,3.18
BFLY,"BUTTERFLY NETWORK, INC.",,Etats-Unis,NYSE,USD,-42.25,0.10,-57.58,-42.85,5.90,-59.09,13.06,0,1,0,1,141.77,19.17,0.00,268.07,6,6,0,1,,195979000.00,-78.95,21.70,1.51
PINS,"PINTEREST, INC. CLASS A",,Etats-Unis,NYSE,USD,8.78,0.06,10.83,18.38,25.69,3.94,8.47,1,1,0,1,7.75,7.37,130.61,125.38,6,6,2,2,-9.92,4745238000.00,9.87,17.55,1.16
PCG,PG&E CORPORATION,,Etats-Unis,NYSE,USD,8.55,1.87,2.60,8.97,0.39,2.47,0.16,0,0,0,0,0.43,9.79,8.98,8.36,6,6,0,0,12.50,32792000000.00,10.84,1.03,4.32
BHVN,BIOHAVEN LTD.,,Etats-Unis,NYSE,USD,-310.75,5.47,,-198.01,113.16,,,,0,,0,,78.31,,0.00,0,6,,0,,52072000.00,,,8.67
PFLT,PENNANTPARK FLOATING RATE CAPITAL LTD.,,Etats-Unis,NYSE,USD,6.80,1.65,,8.48,3.05,,,,1,,0,,3.86,,94.18,0,6,,2,,1074516000.00,84.76,36.28,2.71
PEB,PEBBLEBROOK HOTEL TRUST,,Etats-Unis,NYSE,USD,-2.33,0.96,1.12,-1.61,1.40,1.02,0.23,0,0,0,0,3.31,5.74,39.68,0.00,6,6,0,0,30.21,2562738000.00,-4.22,1.94,2.09
WKC,WORLD KINECT CORPORATION,,Etats-Unis,NYSE,USD,-37.48,0.53,5.46,-10.42,23.43,5.22,0.30,0,0,0,0,0.82,23.77,25.95,732.04,6,6,0,0,2.21,1307900000.00,-1.66,-12.04,4.48
CRBG,COREBRIDGE FINANCIAL INC.,,Etats-Unis,NYSE,USD,-2.97,0.78,0.00,7.90,10.36,0.41,0.57,0,3,0,2,1.29,11.68,100.00,106.87,4,6,0,3,-5057.64,13960000000.00,-2.16,-2.84,29.62
PEG,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,,Etats-Unis,NYSE,USD,12.76,1.43,4.75,13.84,3.30,4.89,1.00,0,2,0,0,0.61,9.47,33.28,135.74,6,6,0,4,8.08,16982000000.00,17.35,4.06,3.39
PEN,PENUMBRA INC.,,Etats-Unis,NYSE,USD,13.78,0.15,13.24,7.78,6.31,7.78,4.78,1,1,0,0,5.56,2.27,23.87,163.64,6,6,1,1,-1.72,1427603000.00,12.66,15.15,1.28
HP,HELMERICH & PAYNE INC.,,Etats-Unis,NYSE,USD,-5.57,0.78,2.76,7.40,11.38,6.48,3.64,0,2,0,0,6.19,8.55,72.51,135.52,6,6,1,2,8.57,2829338000.00,-4.27,14.20,2.37
HPE,HEWLETT PACKARD ENTERPRISE COMPANY,,Etats-Unis,NYSE,USD,0.23,0.97,2.83,7.08,5.97,4.81,1.72,0,1,0,0,1.63,6.77,51.46,98.79,6,6,0,2,11.13,24754000000.00,0.17,8.50,3.07
BIRK,BIRKENSTOCK HOLDING PLC,,Etats-Unis,NYSE,USD,12.01,0.48,8.84,7.79,4.44,7.11,2.01,0,1,0,0,6.53,20.06,38.39,66.56,6,6,0,1,1.76,2722726000.00,16.61,18.57,1.82
CRC,CALIFORNIA RESOURCES CORP,,Etats-Unis,NYSE,USD,10.07,0.37,5.25,16.92,9.39,10.98,9.32,3,4,3,3,16.13,16.13,85.40,76.88,5,5,3,5,2.78,3674000000.00,10.67,9.99,2.01
MRP,MILLROSE PROPERTIES INC.,,Etats-Unis,NYSE,USD,6.90,0.36,5.73,-69930667.55,121123466.91,5.73,,0,0,0,0,,209791990.45,,0.00,1,3,0,0,4.20,5856262000.00,63.26,,1.58
CRCL,"CIRCLE INTERNET GROUP, INC.",,Etats-Unis,NYSE,USD,-3.56,0.01,-6.84,36.49,41.24,5.99,11.79,1,2,0,2,15.32,37.77,141.86,104.52,3,3,1,2,,3330773000.00,-2.53,37.61,23.63
BJ,"BJ'S WHOLESALE CLUB HOLDINGS, INC.",,Etats-Unis,NYSE,USD,28.60,1.24,12.55,34.24,6.80,12.60,0.24,6,6,0,6,0.29,17.82,10.67,78.31,6,6,6,6,3.17,2197659000.00,2.70,3.66,3.42
MRSH,"MARSH & MCLENNAN COMPANIES, INC.",,Etats-Unis,NYSE,USD,29.35,1.40,12.92,31.34,1.81,13.79,0.96,5,6,0,6,2.28,4.83,12.82,10.76,6,6,5,6,3.01,15315000000.00,15.69,8.94,3.83
HOMB,HOME BANCSHARES INC.,,Etats-Unis,NYSE,USD,11.51,0.18,,10.88,0.58,,,,0,,0,,1.44,,18.35,0,6,,4,,4296871000.00,44.10,4.98,5.33
PCOR,PROCORE TECHNOLOGIES INC.,,Etats-Unis,NYSE,USD,-7.90,0.06,-15.98,-11.09,4.87,-20.69,6.25,0,1,0,1,13.27,27.09,0.00,263.61,6,6,0,1,,1262262000.00,-7.62,17.99,1.77
BKKT,"BAKKT HOLDINGS, INC.",,Etats-Unis,NYSE,USD,-150.58,0.00,-79.84,-116.83,29.53,-61.98,19.41,0,0,0,0,38.50,41.70,0.00,0.00,6,6,0,0,,112782000.00,-5.66,73.01,1.44
BKH,BLACK HILLS CORPORATION,,Etats-Unis,NYSE,USD,8.00,1.20,4.65,8.29,0.32,4.51,0.15,0,0,0,0,0.13,0.61,10.32,12.28,6,6,0,0,8.41,3905700000.00,12.98,-0.46,2.78
BKE,BUCKLE INC.,,Etats-Unis,NYSE,USD,49.44,0.90,35.92,50.62,4.61,38.78,4.35,6,6,6,6,6.38,12.04,42.91,36.78,6,6,6,6,0.42,424643000.00,16.16,1.45,2.33
HPP,HUDSON PACIFIC PROPERTIES INC,,Etats-Unis,NYSE,USD,-18.60,1.17,-0.51,-11.52,7.00,-0.26,0.40,0,0,0,0,1.00,10.68,134.69,2795.65,6,6,0,0,,3202170000.00,-71.27,-6.58,2.27
BKD,BROOKDALE SENIOR LIVING INC.,,Etats-Unis,NYSE,USD,-308.16,-127.17,1.01,-137.21,148.66,0.50,0.51,0,0,0,0,1.68,156.97,6550.00,3118.22,6,6,0,1,60.46,-43377000.00,-8.23,3.07,
PD,PAGERDUTY INC.,,Etats-Unis,NYSE,USD,82.50,1.53,-3.86,6.37,66.12,-18.01,13.03,0,1,0,1,8.27,12.59,0.00,0.00,6,6,0,1,-50.33,270665000.00,35.06,6.94,3.66
BK,THE BANK OF NEW YORK MELLON CORPORATION,,Etats-Unis,NYSE,USD,12.90,0.77,,10.64,2.45,,,,1,,0,,1.26,,27.88,0,6,,2,,44808000000.00,28.26,6.89,10.54
C,CITIGROUP INC.,,Etats-Unis,NYSE,USD,6.83,1.72,,5.87,1.15,,,,0,,0,,1.25,,57.91,0,6,,1,,213822000000.00,16.96,4.20,12.43
CR,CRANE NXT CO.,,Etats-Unis,NYSE,USD,19.79,0.59,13.21,18.37,2.33,12.93,3.37,2,5,0,2,2.95,5.11,42.08,39.39,6,6,2,6,1.67,2063400000.00,15.90,5.11,1.87
WK,WORKIVA INC.,,Etats-Unis,NYSE,USD,111.07,-146.68,-14.26,166.95,121.00,-22.76,8.46,0,3,0,3,11.11,155.83,0.00,72.53,6,6,0,3,,-5436000.00,-2.96,18.49,
PDM,PIEDMONT OFFICE REALTY TRUST INC.,,Etats-Unis,NYSE,USD,-5.42,1.50,1.54,-4.30,1.42,1.49,0.06,0,1,0,0,0.12,3.14,24.06,144.21,6,6,0,1,28.31,1496703000.00,-14.80,-1.11,2.69
CPT,CAMDEN PROPERTY TRUST,,Etats-Unis,NYSE,USD,8.60,0.88,2.88,6.74,2.82,2.96,0.13,0,1,0,0,0.10,3.67,7.40,75.41,6,6,0,1,13.41,4438253000.00,25.10,1.02,2.04
SLF,SUN LIFE FINANCIAL INC.,,Etats-Unis,NYSE,USD,16.89,0.74,1.34,14.27,2.87,1.23,0.16,0,4,0,0,0.12,2.63,0.00,38.39,2,6,0,6,-1.72,25492000000.00,9.84,0.39,15.63
BIPC,BROOKFIELD INFRASTRUCTURE PARTNERS L.P.,,Etats-Unis,NYSE,USD,33.12,6.62,9.09,22.70,17.68,9.12,0.41,2,3,1,3,0.40,115.75,67.34,547.24,6,6,2,3,5.50,2005000000.00,19.08,21.06,11.98
VNT,VONTIER CORPORATION,,Etats-Unis,NYSE,USD,35.14,1.71,14.15,43.14,7.98,13.88,0.65,6,6,1,6,0.66,18.40,38.31,80.30,6,6,6,6,2.93,1251200000.00,13.20,-0.32,3.49
CRK,COMSTOCK RESOURCES INC.,,Etats-Unis,NYSE,USD,15.87,0.98,5.21,5.23,13.01,2.21,3.92,2,2,1,1,3.97,14.50,105.42,114.10,6,6,2,2,7.53,2962903000.00,21.79,11.00,2.36
CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",,Etats-Unis,NYSE,USD,-4.23,0.80,4.83,3.62,9.64,5.55,1.80,0,4,0,0,2.58,14.34,55.01,124.12,6,6,0,4,5.87,3211194000.00,-3.54,-1.39,2.22
PFE,PFIZER INC.,,Etats-Unis,NYSE,USD,8.91,0.74,7.87,6.77,3.85,5.03,3.71,2,3,1,2,3.70,5.91,96.71,93.57,6,6,2,3,2.89,86775000000.00,12.48,3.43,2.40
WLK,WESTLAKE CORPORATION,,Etats-Unis,NYSE,USD,-14.47,0.69,-1.51,-1.21,11.50,2.62,3.74,2,2,0,2,3.75,11.71,108.99,152.79,6,6,2,2,,9295000000.00,-13.17,-5.65,2.15
CRM,SALESFORCE INC,,Etats-Unis,NYSE,USD,12.40,0.29,10.48,9.89,2.71,9.63,1.35,0,1,0,0,3.78,5.69,0.00,96.33,6,6,2,2,0.85,59142000000.00,17.96,9.15,1.90
PFGC,PERFORMANCE FOOD GROUP CO.,,Etats-Unis,NYSE,USD,7.67,1.59,4.73,8.88,1.90,5.40,0.84,0,0,0,0,1.66,3.98,25.39,32.00,6,6,0,2,8.56,4899300000.00,0.53,7.89,3.85
GFL,GFL ENVIRONMENTAL INC.,,Etats-Unis,NYSE,USD,59.50,1.06,1.65,17.14,36.97,1.38,0.30,0,1,0,1,1.48,7.81,0.00,1885.42,6,6,0,1,22.43,7485400000.00,57.64,-6.18,2.58
VMI,"VALMONT INDUSTRIES, INC.",,Etats-Unis,NYSE,USD,21.86,0.56,17.58,18.21,7.59,14.72,3.16,2,4,0,2,1.67,4.40,1.39,43.03,6,6,4,5,1.41,1642285000.00,8.62,-0.85,2.05
MPC,MARATHON PETROLEUM CORPORATION,,Etats-Unis,NYSE,USD,24.19,1.43,7.40,25.31,7.80,10.62,5.98,2,5,1,4,5.96,36.38,73.87,61.22,6,6,2,5,5.32,24086000000.00,4.43,-5.43,3.49
MP,MP MATERIALS CORP.,,Etats-Unis,NYSE,USD,-5.66,0.51,-7.50,-3.08,4.25,-5.95,5.57,2,2,1,1,9.45,4.40,137.20,122.73,6,6,2,2,,1978757000.00,-38.26,-5.90,1.95
